---------------------------------------


Marginal Probabilities
---------------------------------------
_ : 0.16886
a : 0.06137
c : 0.02802
b : 0.01209
e : 0.10498
d : 0.02649
g : 0.01583
f : 0.01928
i : 0.06334
h : 0.03892
k : 0.00347
j : 0.00061
m : 0.02201
l : 0.03705
o : 0.0696
n : 0.05686
q : 0.00089
p : 0.0189
s : 0.05635
r : 0.04802
u : 0.02306
t : 0.08034
w : 0.01292
v : 0.01113
y : 0.01721
x : 0.00162
z : 0.00073


Emission Probabilities
---------------------------------------
P( p | g ) = 0.00039
P( p | h ) = 0.00016
P( p | i ) = 0.0001
P( p | j ) = 0.00794
P( p | k ) = 0.00171
P( p | l ) = 0.06293
P( p | m ) = 0.00028
P( p | n ) = 0.00011
P( p | o ) = 0.05191
P( p | p ) = 0.79283
P( p | q ) = 0.00588
P( p | r ) = 0.00013
P( p | s ) = 0.00011
P( p | t ) = 8e-05
P( p | u ) = 0.00027
P( p | v ) = 0.00055
P( p | w ) = 0.00047
P( p | x ) = 0.00348
P( p | y ) = 0.00036
P( p | z ) = 0.00694
P( q | _ ) = 4e-05
P( q | a ) = 0.06823
P( q | b ) = 0.00051
P( q | c ) = 0.00022
P( q | d ) = 0.00023
P( q | e ) = 6e-05
P( q | f ) = 0.00032
P( q | g ) = 0.00039
P( q | h ) = 0.00016
P( q | i ) = 0.0001
P( q | j ) = 0.00794
P( q | k ) = 0.00171
P( q | l ) = 0.00017
P( q | m ) = 0.00028
P( q | n ) = 0.00011
P( q | o ) = 9e-05
P( q | p ) = 0.00033
P( q | q ) = 0.67647
P( q | r ) = 0.00013
P( q | s ) = 0.00011
P( q | t ) = 8e-05
P( q | u ) = 0.00027
P( q | v ) = 0.00055
P( q | w ) = 0.05126
P( q | x ) = 0.00348
P( q | y ) = 0.00036
P( q | z ) = 0.00694
P( r | _ ) = 4e-05
P( r | a ) = 0.0001
P( r | b ) = 0.00051
P( r | c ) = 0.00022
P( r | d ) = 0.00023
P( r | e ) = 0.06481
P( r | f ) = 0.02906
P( r | g ) = 0.00039
P( r | h ) = 0.00016
P( r | i ) = 0.0001
P( r | j ) = 0.00794
P( r | k ) = 0.00171
P( r | l ) = 0.00017
P( r | m ) = 0.00028
P( r | n ) = 0.00011
P( r | o ) = 9e-05
P( r | p ) = 0.00033
P( r | q ) = 0.00588
P( r | r ) = 0.79103
P( r | s ) = 0.00011
P( r | t ) = 0.051
P( r | u ) = 0.00027
P( r | v ) = 0.00055
P( r | w ) = 0.00047
P( r | x ) = 0.00348
P( r | y ) = 0.00036
P( r | z ) = 0.00694
P( s | _ ) = 4e-05
P( s | a ) = 0.06884
P( s | b ) = 0.00051
P( s | c ) = 0.00022
P( s | d ) = 0.04054
P( s | e ) = 6e-05
P( s | f ) = 0.00032
P( s | g ) = 0.00039
P( s | h ) = 0.00016
P( s | i ) = 0.0001
P( s | j ) = 0.00794
P( s | k ) = 0.00171
P( s | l ) = 0.00017
P( s | m ) = 0.00028
P( s | n ) = 0.00011
P( s | o ) = 9e-05
P( s | p ) = 0.00033
P( s | q ) = 0.00588
P( s | r ) = 0.00013
P( s | s ) = 0.79613
P( s | t ) = 8e-05
P( s | u ) = 0.00027
P( s | v ) = 0.00055
P( s | w ) = 0.05221
P( s | x ) = 0.05923
P( s | y ) = 0.00036
P( s | z ) = 0.08333
P( t | _ ) = 4e-05
P( t | a ) = 0.0001
P( t | b ) = 0.00051
P( t | c ) = 0.00022
P( t | d ) = 0.00023
P( t | e ) = 6e-05
P( t | f ) = 0.03258
P( t | g ) = 0.04115
P( t | h ) = 0.00016
P( t | i ) = 0.0001
P( t | j ) = 0.00794
P( t | k ) = 0.00171
P( t | l ) = 0.00017
P( t | m ) = 0.00028
P( t | n ) = 0.00011
P( t | o ) = 9e-05
P( t | p ) = 0.00033
P( t | q ) = 0.00588
P( t | r ) = 0.0544
P( t | s ) = 0.00011
P( t | t ) = 0.80093
P( t | u ) = 0.00027
P( t | v ) = 0.00055
P( t | w ) = 0.00047
P( t | x ) = 0.00348
P( t | y ) = 0.04753
P( t | z ) = 0.00694
P( u | _ ) = 4e-05
P( u | a ) = 0.0001
P( u | b ) = 0.00051
P( u | c ) = 0.00022
P( u | d ) = 0.00023
P( u | e ) = 6e-05
P( u | f ) = 0.00032
P( u | g ) = 0.00039
P( u | h ) = 0.00016
P( u | i ) = 0.04626
P( u | j ) = 0.0873
P( u | k ) = 0.00171
P( u | l ) = 0.00017
P( u | m ) = 0.00028
P( u | n ) = 0.00011
P( u | o ) = 9e-05
P( u | p ) = 0.00033
P( u | q ) = 0.00588
P( u | r ) = 0.00013
P( u | s ) = 0.00011
P( u | t ) = 8e-05
P( u | u ) = 0.80027
P( u | v ) = 0.00055
P( u | w ) = 0.00047
P( u | x ) = 0.00348
P( u | y ) = 0.04217
P( u | z ) = 0.00694
P( v | _ ) = 4e-05
P( v | a ) = 0.0001
P( v | b ) = 0.04711
P( v | c ) = 0.05377
P( v | d ) = 0.00023
P( v | e ) = 6e-05
P( v | f ) = 0.02874
P( v | g ) = 0.0361
P( v | h ) = 0.00016
P( v | i ) = 0.0001
P( v | j ) = 0.00794
P( v | k ) = 0.00171
P( v | l ) = 0.00017
P( v | m ) = 0.00028
P( v | n ) = 0.00011
P( v | o ) = 9e-05
P( v | p ) = 0.00033
P( v | q ) = 0.00588
P( v | r ) = 0.00013
P( v | s ) = 0.00011
P( v | t ) = 8e-05
P( v | u ) = 0.00027
P( v | v ) = 0.78725
P( v | w ) = 0.00047
P( v | x ) = 0.00348
P( v | y ) = 0.00036
P( v | z ) = 0.00694
P( w | _ ) = 4e-05
P( w | a ) = 0.0001
P( w | b ) = 0.00051
P( w | c ) = 0.00022
P( w | d ) = 0.00023
P( w | e ) = 0.06682
P( w | f ) = 0.00032
P( w | g ) = 0.00039
P( w | h ) = 0.00016
P( w | i ) = 0.0001
P( w | j ) = 0.00794
P( w | k ) = 0.00171
P( w | l ) = 0.00017
P( w | m ) = 0.00028
P( w | n ) = 0.00011
P( w | o ) = 9e-05
P( w | p ) = 0.00033
P( w | q ) = 0.1
P( w | r ) = 0.00013
P( w | s ) = 0.03847
P( w | t ) = 8e-05
P( w | u ) = 0.00027
P( w | v ) = 0.00055
P( w | w ) = 0.79639
P( w | x ) = 0.00348
P( w | y ) = 0.00036
P( w | z ) = 0.00694
P( x | _ ) = 4e-05
P( x | a ) = 0.0001
P( x | b ) = 0.00051
P( x | c ) = 0.05002
P( x | d ) = 0.03821
P( x | e ) = 6e-05
P( x | f ) = 0.00032
P( x | g ) = 0.00039
P( x | h ) = 0.00016
P( x | i ) = 0.0001
P( x | j ) = 0.00794
P( x | k ) = 0.00171
P( x | l ) = 0.00017
P( x | m ) = 0.00028
P( x | n ) = 0.00011
P( x | o ) = 9e-05
P( x | p ) = 0.00033
P( x | q ) = 0.00588
P( x | r ) = 0.00013
P( x | s ) = 0.04231
P( x | t ) = 8e-05
P( x | u ) = 0.00027
P( x | v ) = 0.00055
P( x | w ) = 0.00047
P( x | x ) = 0.71777
P( x | y ) = 0.00036
P( x | z ) = 0.0625
P( y | _ ) = 4e-05
P( y | a ) = 0.0001
P( y | b ) = 0.00051
P( y | c ) = 0.00022
P( y | d ) = 0.00023
P( y | e ) = 6e-05
P( y | f ) = 0.00032
P( y | g ) = 0.00039
P( y | h ) = 0.03798
P( y | i ) = 0.0001
P( y | j ) = 0.00794
P( y | k ) = 0.00171
P( y | l ) = 0.00017
P( y | m ) = 0.00028
P( y | n ) = 0.00011
P( y | o ) = 9e-05
P( y | p ) = 0.00033
P( y | q ) = 0.00588
P( y | r ) = 0.00013
P( y | s ) = 0.00011
P( y | t ) = 0.04722
